,endTime,artistName,trackName,msPlayed
2186,2021-08-23 16:02,The Chainsmokers,See The Way,177960
2187,2021-08-23 16:07,Zedd,Good Thing (with Kehlani),210901
2188,2021-08-23 16:20,Imagine Dragons,Bullet In A Gun,204853
2189,2021-08-23 16:23,The Score,Can You Hear Me Now,194235
2190,2021-08-23 16:35,The Cab,Lock Me Up,209626
2191,2021-08-23 16:37,Thomas Rhett,On Me (feat. Ava Max),37153
2192,2021-08-23 16:41,The Chainsmokers,Kills You Slowly,213320
2193,2021-08-23 16:46,Tommee Profitt,In The End - Mellen Gi Remix,218188
2194,2021-08-23 16:51,Dua Lipa,IDGAF,217946
2195,2021-08-23 16:54,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),169937
2196,2021-08-23 16:57,Tommee Profitt,In The End - Mellen Gi Remix,218188
2197,2021-08-23 17:04,Tommee Profitt,In The End - Mellen Gi Remix,218188
2198,2021-08-23 17:06,Tommee Profitt,In The End - Mellen Gi Remix,104909
2199,2021-08-23 17:11,Coldplay,Yellow,266773
2200,2021-08-23 17:14,Coldplay,Yellow,203634
2201,2021-08-23 17:21,The Cab,Lock Me Up,209626
2202,2021-08-23 17:24,Anne-Marie,Our Song,30259
2203,2021-08-23 17:25,The Cab,Numbers,47
2204,2021-08-23 17:25,The Cab,Moon,196720
2205,2021-08-23 17:28,vaultboy,everything sucks (feat. Eric Nam),119744
2206,2021-08-23 17:39,vaultboy,everything sucks,82478
2207,2021-08-23 17:58,vaultboy,everything sucks (feat. Eric Nam),18399
2208,2021-08-23 17:58,vaultboy,everything sucks,111011
2209,2021-08-23 18:15,Adnan Sami,Bhar Do Jholi Meri,499383
2210,2021-08-23 18:15,KK,Tu Jo Mila,21145
2211,2021-08-23 18:25,Adnan Sami,Bhar Do Jholi Meri,499383
2212,2021-08-23 18:26,KK,Tu Jo Mila,81867
2213,2021-08-23 18:30,The Chainsmokers,Kills You Slowly,213320
2214,2021-08-23 18:33,The Chainsmokers,Kills You Slowly,213320
2215,2021-08-23 18:34,The Chainsmokers,Kills You Slowly,12223
2216,2021-08-23 18:37,Tommee Profitt,In The End - Mellen Gi Remix,218188
2217,2021-08-23 18:40,Tommee Profitt,In The End - Mellen Gi Remix,167276
2218,2021-08-23 23:37,Tommee Profitt,In The End - Mellen Gi Remix,50928
2219,2021-08-23 23:40,Tommee Profitt,In The End - Mellen Gi Remix,190021
2220,2021-08-23 23:45,The Score,Believe,228280
2221,2021-08-23 23:54,The Score,Believe,3677
2222,2021-08-23 23:54,The Score,Unstoppable,138167
2223,2021-08-23 23:57,The Score,Who I Am,215746
2224,2021-08-24 00:01,The Score,Revolution,231986
2225,2021-08-24 00:05,The Score,Shakedown,205040
2226,2021-08-24 00:08,The Score,Higher,214613
2227,2021-08-24 00:12,The Score,Miracle,206400
2228,2021-08-24 00:13,The Score,Strange,58507
2229,2021-08-24 00:25,The Score,Never Going Back,104865
2230,2021-08-24 08:37,The Score,Never Going Back,0
2231,2021-08-24 08:39,The Cab,Lock Me Up,209492
2232,2021-08-24 08:46,The Cab,Moon,196686
2233,2021-08-24 08:50,The Cab,Numbers,248921
2234,2021-08-24 09:00,The Cab,Stand Up,481197
2235,2021-08-24 09:09,The Cab,These Are The Lies,213095
2236,2021-08-24 09:10,5 Seconds of Summer,Woke Up In Japan,22182
2237,2021-08-24 09:10,The Cab,Lock Me Up,20785
2238,2021-08-24 09:12,Why Don't We,8 Letters,117760
2239,2021-08-24 09:16,Why Don't We,Fallin’ (Adrenaline),210576
2240,2021-08-24 09:18,Why Don't We,What Am I,105428
2241,2021-08-24 09:21,Why Don't We,Unbelievable,1163
2242,2021-08-24 09:21,Why Don't We,Big Plans,177665
